code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R9-165,alkaline_phosphatase_mean > q0.80 (75) AND dbp_mean <= q0.20 (54.43),2,"alkaline_phosphatase_mean,dbp_mean","other,perfusion",2,671,0.05302252074278941,0.6706408345752608,0.45901639344262296,0.21162444113263784,0.15979521056706003,0.26345367169821565,1.2152728940825358e-15,59.203971349453795,7.5794336810730245,7.2,1.5073958053205108e-15,21.162444113263785,15.979521056706004,26.345367169821564,21.162444113263785,True,harm | alkaline_phosphatase > ; dbp <=,1.0
R9-570,alkaline_phosphatase_mean > q0.80 (75) AND sofa_mean > q0.80 (6.339),2,"alkaline_phosphatase_mean,sofa_mean","other,severity",2,935,0.07388384037929673,0.6909090909090909,0.4802139037433155,0.2106951871657754,0.16707205612265053,0.2543183182089003,2.891111552676563e-21,69.57996023504298,7.621497326203209,7.2,4.067049964958541e-21,21.06951871657754,16.707205612265053,25.43183182089003,21.06951871657754,True,harm | alkaline_phosphatase > ; sofa >,1.0
R271-634,lactate_max > q0.65 (2.3) AND urea_mean > q0.80 (28.34),2,"lactate_max,urea_mean","perfusion,organ_failure",2,818,0.06463848281311735,0.6723716381418093,0.4621026894865526,0.21026894865525675,0.16334471171941575,0.2571931855910978,1.5942581406312256e-18,64.94946088642811,7.675672371638141,7.3,2.0977080797779286e-18,21.026894865525676,16.334471171941576,25.719318559109777,21.026894865525676,True,harm | lactate > ; urea >,1.0
R5-647,alkaline_phosphatase_mean > q0.20 (75) AND urea_std > q0.65 (2.813),2,"alkaline_phosphatase_mean,urea_std","other,organ_failure",2,1390,0.10983800869221652,0.6611510791366907,0.45323741007194246,0.20791366906474823,0.1718019884292132,0.24402534970028325,1.5610912125879632e-29,83.71710430943511,7.543165467625899,7.2,3.018109677670062e-29,20.791366906474824,17.18019884292132,24.402534970028324,20.791366906474824,True,harm | alkaline_phosphatase > ; urea >,1.0
R132-496,creatinine_max > q0.80 (1.6) AND sapsii_max > q0.65 (43),2,"creatinine_max,sapsii_max","organ_failure,severity",2,1525,0.12050572896088503,0.6629508196721311,0.45901639344262296,0.20393442622950814,0.16946094822867225,0.23840790423034403,4.3812586931076525e-31,86.01005446372218,7.7545573770491805,7.4,9.078706831019787e-31,20.393442622950815,16.946094822867224,23.840790423034402,20.393442622950815,True,harm | creatinine > ; sapsii >,1.0
R132-437,creatinine_max > q0.80 (1.6) AND pt_mean > q0.80 (15.35),2,"creatinine_max,pt_mean","organ_failure,organ_failure",1,979,0.07736072698538127,0.6710929519918284,0.46782431052093976,0.20326864147088863,0.16033761493094278,0.24619966801083448,1.692337984520915e-20,63.600675824008995,7.703370786516854,7.4,2.3431750561521385e-20,20.326864147088862,16.03376149309428,24.61996680108345,20.326864147088862,True,harm | creatinine > ; pt >,1.0
R6-131,alkaline_phosphatase_mean > q0.35 (75) AND creatinine_max > q0.65 (1.1),2,"alkaline_phosphatase_mean,creatinine_max","other,organ_failure",2,1383,0.10928486764124852,0.6681127982646421,0.4692697035430224,0.1988430947216197,0.16268043880027033,0.23500575064296908,4.410704402496021e-27,79.86295202589669,7.532827187274043,7.2,7.71009208392915e-27,19.88430947216197,16.268043880027033,23.500575064296907,19.88430947216197,True,harm | alkaline_phosphatase > ; creatinine >,1.0
R7-314,alkaline_phosphatase_mean > q0.50 (75) AND ldh_std > q0.80 (5.731),2,"alkaline_phosphatase_mean,ldh_std","other,other",1,1344,0.1062030817858554,0.6473214285714286,0.45461309523809523,0.19270833333333337,0.1558133140255038,0.22960335264116294,1.3483832739731244e-24,70.64804196390254,7.480729166666667,7.1,2.098369463118895e-24,19.270833333333336,15.58133140255038,22.960335264116296,19.270833333333336,True,harm | alkaline_phosphatase > ; ldh >,1.0
R132-648,creatinine_max > q0.80 (1.6) AND urea_std > q0.80 (5.561),2,"creatinine_max,urea_std","organ_failure,organ_failure",1,1667,0.13172659028052153,0.617876424715057,0.4277144571085783,0.1901619676064787,0.15687251868838628,0.2234514165245711,4.252933557392619e-29,77.6410611282804,7.6875824835032995,7.3,8.12484012940619e-29,19.01619676064787,15.687251868838628,22.34514165245711,19.01619676064787,True,harm | creatinine > ; urea >,1.0
R0-364,alkaline_phosphatase_max > q0.20 (75) AND nee_mcgkgmin_mean > q0.65 (0.0006669),2,"alkaline_phosphatase_max,nee_mcgkgmin_mean","other,perfusion",2,902,0.0712761754247333,0.656319290465632,0.46895787139689576,0.1873614190687362,0.14240238478012113,0.2323204533573513,3.133712022945725e-16,60.77251245842959,7.733813747228381,7.3,3.9281456090523464e-16,18.73614190687362,14.240238478012113,23.23204533573513,18.73614190687362,True,harm | alkaline_phosphatase > ; nee_mcgkgmin >,1.0
