code,label,source,n_pairs,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
C1_congestive_heart_failure_mean_temperature_max_high,Cluster 1 | congestive heart failure > 0 and temperature max > mediana_cluster (37.5),comorb_lab_vital,392,0.5357142857142857,0.5,0.03571428571428571,-0.028188775510204073,0.10714285714285714,0.3640897755610973,0.948,0.0,0.07253184713375797,7.655612244897959,7.5,0.48660106490530436,3.57,-2.82,10.71,3.57,False
C1_diabetes_without_cc_mean_sbp_mean_high_hb_med,Cluster 1 | diabetes without cc > 0 and sbp mean > mediana_cluster (112) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,196,0.5561224489795918,0.5204081632653061,0.03571428571428571,-0.0663265306122449,0.12755102040816327,0.5561097256857855,0.888,-0.012738853503184714,0.08917197452229299,6.704081632653061,6.8,0.6770527517889723,3.57,-6.63,12.76,3.57,False
C1_diabetes_without_cc_mean_sbp_pre_mean_high_hb_med,Cluster 1 | diabetes without cc > 0 and sbp pre mean > mediana_cluster (112) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,196,0.5561224489795918,0.5204081632653061,0.03571428571428571,-0.05612244897959184,0.1429846938775509,0.5810473815461347,0.904,-0.01910828025477707,0.08280254777070063,6.704081632653061,6.8,0.6957092740304204,3.57,-5.61,14.3,3.57,False
C1_congestive_heart_failure_mean_resp_rate_max_high,Cluster 1 | congestive heart failure > 0 and resp rate max > mediana_cluster (29),comorb_lab_vital,480,0.5645833333333333,0.5291666666666667,0.035416666666666666,-0.029166666666666667,0.09791666666666667,0.32917705735660846,0.996,0.005208333333333333,0.06770833333333333,7.560208333333333,7.3,0.452370694384927,3.54,-2.92,9.79,3.54,False
C1_congestive_heart_failure_mean_dbp_min_high,Cluster 1 | congestive heart failure > 0 and dbp min > mediana_cluster (41),comorb_lab_vital,369,0.4823848238482385,0.5176151761517616,-0.03523035230352303,-0.10853658536585366,0.037940379403794036,0.38154613466334164,0.96,-0.06440677966101695,0.003389830508474576,7.67289972899729,7.5,0.5035797960614478,-3.52,-10.85,3.79,3.52,False
C1_diabetes_without_cc_mean_platelets_slope_high,Cluster 1 | diabetes without cc > 0 and platelets slope > mediana_cluster (-0.0113),comorb_lab_vital,341,0.4897360703812317,0.5249266862170088,-0.03519061583577713,-0.11143695014662756,0.03519061583577713,0.36658354114713215,0.984,-0.07326007326007326,-0.003663003663003663,7.5744868035190605,7.3,0.48927276949327086,-3.52,-11.14,3.52,3.52,False
C1_diabetes_without_cc_mean_creatinine_min_high,Cluster 1 | diabetes without cc > 0 and creatinine min > mediana_cluster (0.9),comorb_lab_vital,228,0.5877192982456141,0.6228070175438597,-0.03508771929824561,-0.12719298245614036,0.04835526315789464,0.5211970074812967,0.88,-0.08241758241758242,0.01098901098901099,7.40657894736842,7.2,0.6435253937565574,-3.51,-12.72,4.84,3.51,False
C2_renal_disease_mean_glucose_vital_max_high,Cluster 2 | renal disease > 0 and glucose vital max > mediana_cluster (148),comorb_lab_vital,827,0.40386940749697703,0.43893591293833134,-0.03506650544135429,-0.07983675937122128,0.004866989117291387,0.19201995012468828,1.0,-0.055891238670694864,-0.009403323262839871,8.262636033857316,7.8,0.29565292787750397,-3.51,-7.98,0.49,3.51,False
C1_diabetes_without_cc_mean_creatinine_max_high,Cluster 1 | diabetes without cc > 0 and creatinine max > mediana_cluster (1.3),comorb_lab_vital,371,0.5849056603773585,0.5498652291105122,0.03504043126684636,-0.029649595687331536,0.09973045822102426,0.40648379052369077,0.956,-0.0026094276094276074,0.06734006734006734,7.46010781671159,7.3,0.5296606967429911,3.5,-2.96,9.97,3.5,False
C2_cerebrovascular_disease_mean_potassium_max_high_hb_med,Cluster 2 | cerebrovascular disease > 0 and potassium max > mediana_cluster (4) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,200,0.44,0.405,0.035,-0.06,0.135,0.5885286783042394,0.868,-0.01875,0.08125,7.292000000000001,7.4,0.7023992713309245,3.5,-6.0,13.5,3.5,False
C1_diabetes_with_cc_mean_sbp_std_high,Cluster 1 | diabetes with cc > 0 and sbp std > mediana_cluster (12.8),comorb_lab_vital,172,0.5174418604651163,0.5523255813953488,-0.03488372093023256,-0.13953488372093023,0.07572674418604637,0.5885286783042394,0.888,-0.08695652173913043,0.021739130434782608,7.211046511627908,7.05,0.7023992713309245,-3.49,-13.95,7.57,3.49,False
C1_renal_disease_mean_dbp_slope_high_hb_med,Cluster 1 | renal disease > 0 and dbp slope > mediana_cluster (-0.00192) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,201,0.6069651741293532,0.572139303482587,0.03482587064676617,-0.06467661691542288,0.12935323383084577,0.5685785536159601,0.916,-0.006211180124223602,0.07453416149068323,6.699502487562189,6.8,0.6852041302106229,3.48,-6.47,12.94,3.48,False
C1_renal_disease_mean_dbp_median_high_hb_med,Cluster 1 | renal disease > 0 and dbp median > mediana_cluster (57) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,144,0.5555555555555556,0.5902777777777778,-0.034722222222222224,-0.1527777777777778,0.0696180555555554,0.6309226932668329,0.832,-0.08695652173913043,0.017391304347826087,6.638194444444444,6.8,0.7372775230101194,-3.47,-15.28,6.96,3.47,False
C2_congestive_heart_failure_mean_resp_rate_slope_high_hb_med,Cluster 2 | congestive heart failure > 0 and resp rate slope > mediana_cluster (0) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,518,0.46525096525096526,0.4305019305019305,0.03474903474903475,-0.03088803088803089,0.09657335907335902,0.2793017456359102,0.984,0.002958937198067634,0.06038647342995169,7.371235521235521,7.4,0.39631194610317816,3.47,-3.09,9.66,3.47,False
C1_congestive_heart_failure_mean_glucose_vital_mean_high_hb_med,Cluster 1 | congestive heart failure > 0 and glucose vital mean > mediana_cluster (134) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,262,0.5954198473282443,0.5610687022900763,0.03435114503816794,-0.05343511450381679,0.1260496183206106,0.456359102244389,0.936,-0.004761904761904762,0.0761904761904762,6.730916030534351,6.8,0.5811233718279408,3.44,-5.34,12.6,3.44,False
C1_cerebrovascular_disease_mean_hemoglobin_std_high,Cluster 1 | cerebrovascular disease > 0 and hemoglobin std > mediana_cluster (0.877),comorb_lab_vital,205,0.5219512195121951,0.4878048780487805,0.03414634146341464,-0.05865853658536585,0.13182926829268282,0.5511221945137157,0.892,-0.016920731707317067,0.08536585365853659,7.331707317073171,7.2,0.6723600127969549,3.41,-5.87,13.18,3.41,False
C1_diabetes_without_cc_mean_temperature_max_high_hb_med,Cluster 1 | diabetes without cc > 0 and temperature max > mediana_cluster (37.5) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,176,0.5738636363636364,0.5397727272727273,0.03409090909090909,-0.06832386363636363,0.14801136363636339,0.5910224438902744,0.856,-0.014184397163120567,0.09219858156028368,6.716477272727272,6.8,0.7033949422472701,3.41,-6.83,14.8,3.41,False
C1_congestive_heart_failure_mean_mbp_std_high_hb_med,Cluster 1 | congestive heart failure > 0 and mbp std > mediana_cluster (9.54) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,206,0.5631067961165048,0.529126213592233,0.03398058252427184,-0.05825242718446602,0.13106796116504854,0.5785536159600998,0.908,-0.010757575757575754,0.08484848484848485,6.718446601941747,6.8,0.6938434028106775,3.4,-5.83,13.11,3.4,False
