code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R196-352-556,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND sodium_std <= q0.35 (0.2074),3,"glucose_lab_std,mbp_median,sodium_std","other,perfusion,other",2,2613,0.20647965231133938,0.2667432070417145,0.4496747034060467,-0.1829314963643322,-0.2084536294000256,-0.1574093633286388,7.876804403315994e-45,100.99083133521216,11.432108687332567,14.0,4.0429615521444924e-44,-18.29314963643322,-20.84536294000256,-15.74093633286388,18.29314963643322,True,benefit | glucose_lab <= ; mbp > ; sodium <=,1.0
R352-556,mbp_median > q0.65 (89) AND sodium_std <= q0.35 (0.2074),2,"mbp_median,sodium_std","perfusion,other",2,2728,0.2155669695772422,0.2716275659824047,0.4505131964809384,-0.17888563049853373,-0.20392985422796456,-0.1538414067691029,1.5615968323846462e-44,100.90702320145166,11.351282991202346,14.0,7.910272164044496e-44,-17.888563049853374,-20.392985422796457,-15.38414067691029,17.888563049853374,True,benefit | mbp > ; sodium <=,1.0
R196-209,glucose_lab_std <= q0.35 (0) AND glucose_vital_median > q0.65 (136),2,"glucose_lab_std,glucose_vital_median","other,other",1,1385,0.10944290794152509,0.2,0.4707581227436823,-0.2707581227436823,-0.30444569874896776,-0.23707054673839678,6.532891426371617e-56,100.76422779383607,9.083754512635378,8.3,8.027705566304105e-55,-27.07581227436823,-30.444569874896775,-23.70705467383968,27.07581227436823,True,benefit | glucose_lab <= ; glucose_vital >,1.0
R233-352-503,heart_rate_median <= q0.35 (70) AND mbp_median > q0.65 (89) AND sapsii_median <= q0.35 (34),3,"heart_rate_median,mbp_median,sapsii_median","perfusion,perfusion,severity",2,1084,0.08565784274990122,0.16420664206642066,0.4474169741697417,-0.283210332103321,-0.3201231406811084,-0.24629752352553363,4.143004389826449e-51,100.70417822967988,11.072601476014759,11.4,3.3607588057333436e-50,-28.321033210332104,-32.01231406811084,-24.629752352553364,28.321033210332104,True,benefit | heart_rate <= ; mbp > ; sapsii <=,1.0
R196-352-495,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND sapsii_max <= q0.35 (34),3,"glucose_lab_std,mbp_median,sapsii_max","other,perfusion,severity",3,1150,0.09087317265902806,0.17130434782608694,0.42695652173913046,-0.2556521739130435,-0.291589971155642,-0.21971437667044502,3.473716950516847e-44,100.56720945413224,11.756434782608695,14.0,1.7294041470384302e-43,-25.56521739130435,-29.1589971155642,-21.9714376670445,25.56521739130435,True,benefit | glucose_lab <= ; mbp > ; sapsii <=,1.0
R157-195-606,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.20 (0) AND spo2_std <= q0.35 (0.8245),3,"dbp_delta,glucose_lab_std,spo2_std","perfusion,other,respiratory",3,1972,0.15582773607269854,0.2682555780933063,0.4629817444219067,-0.1947261663286004,-0.22416669580419285,-0.16528563685300796,1.9609118177717938e-38,100.30804319401192,10.999290060851926,11.6,6.343161485262913e-38,-19.47261663286004,-22.416669580419285,-16.528563685300796,19.47261663286004,True,benefit | dbp <= ; glucose_lab <= ; spo2 <=,1.0
R171-473-507,dbp_median > q0.65 (72) AND resp_rate_max <= q0.35 (20) AND sapsii_min <= q0.35 (34),3,"dbp_median,resp_rate_max,sapsii_min","perfusion,respiratory,severity",3,1050,0.08297115764519952,0.16666666666666666,0.43333333333333335,-0.2666666666666667,-0.30417072076851115,-0.2291626125648223,3.8134989055245234e-44,100.23545613537492,11.33904761904762,14.0,1.8920696023988228e-43,-26.66666666666667,-30.417072076851113,-22.91626125648223,26.66666666666667,True,benefit | dbp > ; resp_rate <= ; sapsii <=,1.0
R352-427,mbp_median > q0.65 (89) AND potassium_std <= q0.35 (0.04242),2,"mbp_median,potassium_std","perfusion,other",2,2758,0.21793757408139075,0.2730239303843365,0.44960116026105873,-0.17657722987672225,-0.20150009928202803,-0.15165436047141648,7.648467528295185e-44,100.1510681980166,11.329115300942712,14.0,3.7122269174989185e-43,-17.657722987672226,-20.150009928202802,-15.165436047141649,17.657722987672226,True,benefit | mbp > ; potassium <=,1.0
R232-491,heart_rate_median <= q0.20 (70) AND resp_rate_std <= q0.35 (1.78),2,"heart_rate_median,resp_rate_std","perfusion,respiratory",2,3007,0.23761359146582378,0.27768540073162623,0.44662454273362157,-0.16893914200199533,-0.19285556001435816,-0.1450227239896325,1.3654663246136422e-43,100.05084334347846,10.574991686065847,9.9,6.4703469630385e-43,-16.893914200199532,-19.285556001435815,-14.502272398963251,16.893914200199532,True,benefit | heart_rate <= ; resp_rate <=,1.0
R195-408-625,glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924) AND temperature_min > q0.65 (36.89),3,"glucose_lab_std,platelets_slope,temperature_min","other,organ_failure,metabolic",3,1049,0.08289213749506125,0.20781696854146806,0.47378455672068637,-0.2659675881792183,-0.3049023913176243,-0.22703278504081228,7.015741100073159e-41,99.925067063502,8.443469971401333,8.1,2.6682818610114312e-40,-26.596758817921828,-30.49023913176243,-22.70327850408123,26.596758817921828,True,benefit | glucose_lab <= ; platelets <= ; temperature >,1.0
R171-408-627,dbp_median > q0.65 (72) AND platelets_slope <= q0.35 (-0.07924) AND temperature_std <= q0.35 (0.1001),3,"dbp_median,platelets_slope,temperature_std","perfusion,organ_failure,metabolic",3,1213,0.09585144211774002,0.2291838417147568,0.4765045342126958,-0.24732069249793898,-0.28405609366835655,-0.21058529132752143,9.291403929824893e-40,99.91917591111728,8.595548227535037,8.2,3.2759965223698714e-39,-24.7320692497939,-28.405609366835655,-21.058529132752142,24.7320692497939,True,benefit | dbp > ; platelets <= ; temperature <=,1.0
R196-288-625,glucose_lab_std <= q0.35 (0) AND lactate_std > q0.65 (0.3523) AND temperature_min > q0.65 (36.89),3,"glucose_lab_std,lactate_std,temperature_min","other,perfusion,metabolic",3,1021,0.08067957329118926,0.21351616062683643,0.4828599412340842,-0.2693437806072478,-0.3089844265688814,-0.22970313464561415,1.8316838262158974e-40,99.83384825594271,8.968756121449557,8.3,6.8057438770353654e-40,-26.93437806072478,-30.898442656888143,-22.970313464561414,26.93437806072478,True,benefit | glucose_lab <= ; lactate > ; temperature >,1.0
R171-408-603,dbp_median > q0.65 (72) AND platelets_slope <= q0.35 (-0.07924) AND spo2_slope > q0.65 (0.001268),3,"dbp_median,platelets_slope,spo2_slope","perfusion,organ_failure,respiratory",3,1218,0.09624654286843146,0.20607553366174056,0.4523809523809524,-0.24630541871921183,-0.28232455873923895,-0.21028627869918473,5.819623208100681e-41,99.71387638065798,8.73185550082102,8.4,2.2323951459645473e-40,-24.63054187192118,-28.232455873923897,-21.028627869918473,24.63054187192118,True,benefit | dbp > ; platelets <= ; spo2 >,1.0
R195-261-529,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND sbp_min > q0.65 (102),3,"glucose_lab_std,hemoglobin_slope,sbp_min","other,anemia,perfusion",3,804,0.06353220071118135,0.19402985074626866,0.4962686567164179,-0.30223880597014924,-0.34630321825247645,-0.258174393687822,3.353156125871159e-41,99.41141109911082,8.059701492537313,7.9,1.3087688782000487e-40,-30.223880597014922,-34.63032182524765,-25.817439368782203,30.223880597014922,True,benefit | glucose_lab <= ; hemoglobin <= ; sbp >,1.0
R157-196-603,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND spo2_slope > q0.65 (0.001268),3,"dbp_delta,glucose_lab_std,spo2_slope","perfusion,other,respiratory",3,1483,0.11718688265507704,0.21645313553607554,0.4389750505731625,-0.22252191503708696,-0.2553441398317432,-0.18969969024243072,2.716088151541598e-40,99.40342616247608,10.022319622387053,8.9,1.0014819630604748e-39,-22.252191503708694,-25.53441398317432,-18.96996902424307,22.252191503708694,True,benefit | dbp <= ; glucose_lab <= ; spo2 >,1.0
R196-352-627,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND temperature_std <= q0.35 (0.1001),3,"glucose_lab_std,mbp_median,temperature_std","other,perfusion,metabolic",3,1953,0.15432635322007113,0.2601126472094214,0.4536610343061956,-0.1935483870967742,-0.22297786960259655,-0.16411890459095183,5.104529927619097e-38,99.21987313943943,11.056016385048643,11.8,1.6012046284581267e-37,-19.35483870967742,-22.297786960259653,-16.411890459095183,19.35483870967742,True,benefit | glucose_lab <= ; mbp > ; temperature <=,1.0
R233-352-646,heart_rate_median <= q0.35 (70) AND mbp_median > q0.65 (89) AND urea_std <= q0.35 (0.6436),3,"heart_rate_median,mbp_median,urea_std","perfusion,perfusion,organ_failure",2,2048,0.16183326748320823,0.2568359375,0.45947265625,-0.20263671875,-0.23134032648619746,-0.17393311101380254,1.5272164935350655e-43,99.03914353994081,11.29921875,14.0,7.1491974677186275e-43,-20.263671875,-23.134032648619744,-17.393311101380256,20.263671875,True,benefit | heart_rate <= ; mbp > ; urea <=,1.0
R157-196-364,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND nee_mcgkgmin_mean > q0.65 (0.0006669),3,"dbp_delta,glucose_lab_std,nee_mcgkgmin_mean","perfusion,other,perfusion",2,1196,0.09450809956538918,0.20234113712374582,0.4673913043478261,-0.26505016722408026,-0.30135464761758385,-0.22874568683057667,1.9092871159016108e-46,98.995950053981,9.168311036789298,8.4,1.1129512836411398e-45,-26.505016722408026,-30.135464761758385,-22.874568683057667,26.505016722408026,True,benefit | dbp <= ; glucose_lab <= ; nee_mcgkgmin >,1.0
R196-352-427,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND potassium_std <= q0.35 (0.04242),3,"glucose_lab_std,mbp_median,potassium_std","other,perfusion,other",2,2605,0.20584749111023312,0.2706333973128599,0.44990403071017276,-0.17927063339731286,-0.20488445085830848,-0.15365681593631725,7.921664142248648e-43,98.81816209234526,11.4331669865643,14.0,3.504626393977281e-42,-17.927063339731287,-20.488445085830847,-15.365681593631725,17.927063339731287,True,benefit | glucose_lab <= ; mbp > ; potassium <=,1.0
