sign,bases,n_rules,n_pairs_union,diff_med_pp,diff_min_pp,diff_max_pp,dominant_k2,dominant_k2_pct,dominant_k3,dominant_k3_pct,k2_c0_pct,k2_c0_enrich_pp,k2_c1_pct,k2_c1_enrich_pp,k3_c0_pct,k3_c0_enrich_pp,k3_c1_pct,k3_c1_enrich_pp,k3_c2_pct,k3_c2_enrich_pp,k2_most_enriched_cluster,k2_most_enriched_pp,k3_most_enriched_cluster,k3_most_enriched_pp
benefit,glucose lab + hemoglobin + resp rate,2,1401,-30.37784575824078,-31.96781272860278,-28.787878787878785,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,glucose lab + hemoglobin + mbp,2,1360,-32.262434405658226,-32.58042436687201,-31.944444444444443,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + hemoglobin + sofa,2,1262,-26.753694215183128,-27.20465890183028,-26.302729528535977,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + hemoglobin + sbp,2,1250,-28.750895600708407,-29.163281884646626,-28.33850931677019,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + sbp,2,1246,-28.054408564629707,-28.058103975535165,-28.05071315372425,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + sofa,2,1204,-26.155506561402582,-26.277955271565496,-26.033057851239672,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,glucose lab + lactate + sbp,2,1189,-29.408408869162308,-29.46783161239079,-29.34898612593383,c0,99.92537313432835,c2,99.92537313432835,99.92537313432835,25.124899013427523,0.0746268656716418,-25.124899013427527,0.0,-1.28802844725405,0.0746268656716418,-25.235527223621126,99.92537313432835,26.52355567087517,c0,25.124899013427523,c2,26.52355567087517
benefit,mbp + platelets + temperature,2,1131,-25.95416848074248,-26.233766233766232,-25.674570727718727,c0,99.92254066615027,c2,99.92254066615027,99.92254066615027,25.12206654524944,0.0774593338497289,-25.122066545249442,0.0,-1.28802844725405,0.0774593338497289,-25.232694755443042,99.92254066615027,26.520723202697084,c0,25.12206654524944,c2,26.520723202697084
benefit,glucose lab + lactate + temperature,2,1118,-26.228023701309418,-26.93437806072478,-25.52166934189406,c0,99.6962794229309,c2,99.6962794229309,99.6962794229309,24.89580530203007,0.30372057706909644,-24.895805302030073,0.0,-1.28802844725405,0.30372057706909644,-25.006433512223673,99.6962794229309,26.294461959477715,c0,24.89580530203007,c2,26.294461959477715
benefit,dbp + platelets + sodium,2,1110,-32.29988263267676,-32.52595155709342,-32.073813708260104,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
