code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,feature,feature_base,axis,op,thr,q
R605,spo2_std <= q0.20 (0.4889),1,spo2_std,"respiratory,respiratory",1,2531,0.2,0.31647570130383246,0.4563413670485974,-0.13986566574476494,-0.1664155155483699,-0.11331581594116001,5.411653143773582e-25,70.36508059659052,10.86309758988542,11.0,spo2_std,spo2,respiratory,<=,0.48886612598428114,0.2
R358,mbp_std <= q0.20 (4.903),1,mbp_std,"perfusion,perfusion",1,2531,0.2,0.29869616752271827,0.4385618332674832,-0.13986566574476494,-0.1661653492806215,-0.11356598220890841,1.9354010164050126e-25,70.36508059659052,11.269221651521137,14.0,mbp_std,mbp,perfusion,<=,4.902835230121732,0.2
R51,any_vasopressor_slope > q0.80 (2.509e-05),1,any_vasopressor_slope,"perfusion,perfusion",1,2498,0.19739233504543657,0.3058446757405925,0.44595676541232987,-0.14011208967173738,-0.16669162183566577,-0.113532557507809,5.0497174669887225e-25,70.02801681120785,8.848919135308247,8.3,any_vasopressor_slope,any_vasopressor,perfusion,>,2.5094610729969846e-05,0.8
R271,lactate_max > q0.65 (2.3),1,lactate_max,"perfusion,perfusion",1,4260,0.3366258395890952,0.34906103286384976,0.4563380281690141,-0.10727699530516432,-0.12798032661097045,-0.08657366399935819,3.1161800823610384e-24,70.01827393935108,8.526924882629109,8.1,lactate_max,lactate,perfusion,>,2.3,0.65
R1,alkaline_phosphatase_max > q0.35 (75),1,alkaline_phosphatase_max,"other,other",1,2352,0.18585539312524693,0.5986394557823129,0.4549319727891156,0.1437074829931973,0.11546819747129353,0.17194676851510107,1.9751998836083077e-23,69.69442535217627,7.638988095238096,7.2,alkaline_phosphatase_max,alkaline_phosphatase,other,>,75.0,0.35
R0,alkaline_phosphatase_max > q0.20 (75),1,alkaline_phosphatase_max,"other,other",1,2352,0.18585539312524693,0.5986394557823129,0.4549319727891156,0.1437074829931973,0.11546819747129353,0.17194676851510107,1.9751998836083077e-23,69.69442535217627,7.638988095238096,7.2,alkaline_phosphatase_max,alkaline_phosphatase,other,>,75.0,0.2
R2,alkaline_phosphatase_max > q0.50 (75),1,alkaline_phosphatase_max,"other,other",1,2352,0.18585539312524693,0.5986394557823129,0.4549319727891156,0.1437074829931973,0.11546819747129353,0.17194676851510107,1.9751998836083077e-23,69.69442535217627,7.638988095238096,7.2,alkaline_phosphatase_max,alkaline_phosphatase,other,>,75.0,0.5
R3,alkaline_phosphatase_max > q0.65 (75),1,alkaline_phosphatase_max,"other,other",1,2352,0.18585539312524693,0.5986394557823129,0.4549319727891156,0.1437074829931973,0.11546819747129353,0.17194676851510107,1.9751998836083077e-23,69.69442535217627,7.638988095238096,7.2,alkaline_phosphatase_max,alkaline_phosphatase,other,>,75.0,0.65
R4,alkaline_phosphatase_max > q0.80 (75),1,alkaline_phosphatase_max,"other,other",1,2352,0.18585539312524693,0.5986394557823129,0.4549319727891156,0.1437074829931973,0.11546819747129353,0.17194676851510107,1.9751998836083077e-23,69.69442535217627,7.638988095238096,7.2,alkaline_phosphatase_max,alkaline_phosphatase,other,>,75.0,0.8
R606,spo2_std <= q0.35 (0.8245),1,spo2_std,"respiratory,respiratory",1,4429,0.34998024496246544,0.3298713027771506,0.4335064348611425,-0.10363513208399189,-0.12375345654933988,-0.0835168076186439,5.7243361287321305e-24,68.96993955815265,10.368344998871077,9.5,spo2_std,spo2,respiratory,<=,0.8244873984895477,0.35
R324,lymphocytes_abs_std > q0.80 (0),1,lymphocytes_abs_std,"other,other",1,1924,0.15203476886606085,0.3134095634095634,0.4698544698544699,-0.1564449064449065,-0.18689168205768025,-0.12599813083213274,7.415665593858347e-24,68.62209326442677,7.54054054054054,7.2,lymphocytes_abs_std,lymphocytes_abs,other,>,0.0,0.8
R320,lymphocytes_abs_std > q0.20 (0),1,lymphocytes_abs_std,"other,other",1,1924,0.15203476886606085,0.3134095634095634,0.4698544698544699,-0.1564449064449065,-0.18689168205768025,-0.12599813083213274,7.415665593858347e-24,68.62209326442677,7.54054054054054,7.2,lymphocytes_abs_std,lymphocytes_abs,other,>,0.0,0.2
R321,lymphocytes_abs_std > q0.35 (0),1,lymphocytes_abs_std,"other,other",1,1924,0.15203476886606085,0.3134095634095634,0.4698544698544699,-0.1564449064449065,-0.18689168205768025,-0.12599813083213274,7.415665593858347e-24,68.62209326442677,7.54054054054054,7.2,lymphocytes_abs_std,lymphocytes_abs,other,>,0.0,0.35
R322,lymphocytes_abs_std > q0.50 (0),1,lymphocytes_abs_std,"other,other",1,1924,0.15203476886606085,0.3134095634095634,0.4698544698544699,-0.1564449064449065,-0.18689168205768025,-0.12599813083213274,7.415665593858347e-24,68.62209326442677,7.54054054054054,7.2,lymphocytes_abs_std,lymphocytes_abs,other,>,0.0,0.5
R323,lymphocytes_abs_std > q0.65 (0),1,lymphocytes_abs_std,"other,other",1,1924,0.15203476886606085,0.3134095634095634,0.4698544698544699,-0.1564449064449065,-0.18689168205768025,-0.12599813083213274,7.415665593858347e-24,68.62209326442677,7.54054054054054,7.2,lymphocytes_abs_std,lymphocytes_abs,other,>,0.0,0.65
R136,creatinine_mean > q0.80 (1.332),1,creatinine_mean,"organ_failure,organ_failure",1,2531,0.2,0.5835638087712367,0.44725404978269456,0.13630975898854214,0.10903178343948763,0.16358773453759665,1.1918654345075696e-22,68.57613786955856,7.72670881074674,7.4,creatinine_mean,creatinine,organ_failure,>,1.3319608522785251,0.8
R459,ptt_min <= q0.20 (27.1),1,ptt_min,"organ_failure,organ_failure",1,2536,0.20039510075069142,0.2945583596214511,0.4305993690851735,-0.13604100946372238,-0.16223608522692276,-0.10984593370052201,2.4600931026995615e-24,68.50850185559761,8.205402208201892,7.8,ptt_min,ptt,organ_failure,<=,27.1,0.2
