covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
sbp_post_mean,-0.20549692459496013,0.20549692459496013,-0.06315998849748355,0.06315998849748355
sbp_pre_mean,-0.2990862757836149,0.2990862757836149,-0.07914688273844625,0.07914688273844625
sbp_slope,-0.006283949457765764,0.006283949457765764,-0.0002207922405943929,0.0002207922405943929
sbp_std,-0.2235794293349624,0.2235794293349624,-0.08982271017418568,0.08982271017418568
severe_liver_disease_max,0.2893823583865821,0.2893823583865821,0.10172414843085516,0.10172414843085516
severe_liver_disease_mean,0.2893823583865821,0.2893823583865821,0.10172414843085516,0.10172414843085516
severe_liver_disease_median,0.2893823583865821,0.2893823583865821,0.10172414843085516,0.10172414843085516
severe_liver_disease_min,0.2893823583865821,0.2893823583865821,0.10172414843085516,0.10172414843085516
severe_liver_disease_std,0.0,0.0,0.0,0.0
sofa_delta,0.1891934557225856,0.1891934557225856,0.055599986162320626,0.055599986162320626
sofa_max,0.6458736307048225,0.6458736307048225,0.3513526724690901,0.3513526724690901
sofa_mean,0.5865221244916917,0.5865221244916917,0.29321846789683154,0.29321846789683154
sofa_median,0.5491682227441962,0.5491682227441962,0.27495769605425563,0.27495769605425563
sofa_min,0.5017227908182572,0.5017227908182572,0.22008845846874123,0.22008845846874123
sofa_post_mean,0.6498938522202242,0.6498938522202242,0.29355520578097116,0.29355520578097116
sofa_pre_mean,0.5865221244916917,0.5865221244916917,0.29321846789683154,0.29321846789683154
sofa_slope,-0.16355907842971398,0.16355907842971398,-0.18604851891874957,0.18604851891874957
sofa_std,0.26058098074752645,0.26058098074752645,0.16992663620201184,0.16992663620201184
spo2_delta,0.03916804397582199,0.03916804397582199,0.07574078703896125,0.07574078703896125
spo2_max,0.28078197183390957,0.28078197183390957,0.07914183920909026,0.07914183920909026
spo2_mean,0.24288782787195784,0.24288782787195784,0.01622081607048175,0.01622081607048175
spo2_median,0.23193269810066497,0.23193269810066497,0.007909582088100619,0.007909582088100619
spo2_min,-0.018820149823721457,0.018820149823721457,-0.08579248436114763,0.08579248436114763
spo2_post_mean,0.25918729969522225,0.25918729969522225,0.09162009394331151,0.09162009394331151
spo2_pre_mean,0.24288782787195784,0.24288782787195784,0.01622081607048175,0.01622081607048175
spo2_slope,0.043154538199261176,0.043154538199261176,0.036087688966527566,0.036087688966527566
spo2_std,-0.056823153148202715,0.056823153148202715,0.0030180840522537103,0.0030180840522537103
temperature_max,0.18496365131851744,0.18496365131851744,0.18523936116060732,0.18523936116060732
temperature_mean,0.09780083496997051,0.09780083496997051,0.10431996589224689,0.10431996589224689
temperature_median,0.11084655128387248,0.11084655128387248,0.10301939129699772,0.10301939129699772
temperature_min,-0.1585500971820585,0.1585500971820585,-0.05273360258325234,0.05273360258325234
temperature_std,0.1277701155162325,0.1277701155162325,0.06622659940445634,0.06622659940445634
urea_max,0.2578741113778651,0.2578741113778651,0.1335977164100562,0.1335977164100562
urea_mean,0.25430019071460175,0.25430019071460175,0.13082889410810258,0.13082889410810258
urea_median,0.21332808733867642,0.21332808733867642,0.10808219066593013,0.10808219066593013
urea_min,0.323599845865474,0.323599845865474,0.2735174738501956,0.2735174738501956
urea_std,0.07978353710781641,0.07978353710781641,-0.012712811105371456,0.012712811105371456
vasopressin_rate_norm_max,0.0,0.0,0.0,0.0
vasopressin_rate_norm_mean,0.0,0.0,0.0,0.0
vasopressin_rate_norm_median,0.0,0.0,0.0,0.0
vasopressin_rate_norm_min,0.0,0.0,0.0,0.0
vasopressin_rate_norm_std,0.0,0.0,0.0,0.0
vasopressin_rate_raw_max,0.0,0.0,0.0,0.0
vasopressin_rate_raw_mean,0.0,0.0,0.0,0.0
vasopressin_rate_raw_median,0.0,0.0,0.0,0.0
vasopressin_rate_raw_min,0.0,0.0,0.0,0.0
vasopressin_rate_raw_std,0.0,0.0,0.0,0.0
vasopressin_rate_unitsmin_or_equiv_max,0.08468074968422878,0.08468074968422878,0.17259558922377144,0.17259558922377144
vasopressin_rate_unitsmin_or_equiv_mean,0.12572798675971336,0.12572798675971336,0.07157026052969928,0.07157026052969928
vasopressin_rate_unitsmin_or_equiv_median,0.0480883652701,0.0480883652701,0.017427912732952733,0.017427912732952733
vasopressin_rate_unitsmin_or_equiv_min,0.01231970656611275,0.01231970656611275,-0.007401164654234888,0.007401164654234888
vasopressin_rate_unitsmin_or_equiv_std,0.1813906006492617,0.1813906006492617,0.1512160957344795,0.1512160957344795
